ORDUA-HORA|ZENB-ESCRUT.|ESPARRUARREN KOD.-COD.AMBITO|ESPARRUAREN IZENA-NOMBRE AMBITO|ZENTSUA-CENSO|HAUTETSIAK-ELECTOS|PARTE HARTZE %-% PARTICIPACION|HAUTESLEAK-VOTANTES|BALIOGABEAK-NULOS|BALIOZKOAK-VALIDOS|ZURIAK-BLANCOS|AURKEZTUTAKO HAUTAGAIAK|1 HAUTAGAIA-CANDIDATURA 1|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|2 HAUTAGAIA-CANDIDATURA 2|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|3 HAUTAGAIA-CANDIDATURA 3|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|4 HAUTAGAIA-CANDIDATURA 4|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|5 HAUTAGAIA-CANDIDATURA 5|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|6 HAUTAGAIA-CANDIDATURA 6|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|7 HAUTAGAIA-CANDIDATURA 7|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|8 HAUTAGAIA-CANDIDATURA 8|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|9 HAUTAGAIA-CANDIDATURA 9|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|10 HAUTAGAIA-CANDIDATURA 10|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|11 HAUTAGAIA-CANDIDATURA 11|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|12 HAUTAGAIA-CANDIDATURA 12|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|13 HAUTAGAIA-CANDIDATURA 13|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|14 HAUTAGAIA-CANDIDATURA 14|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|15 HAUTAGAIA-CANDIDATURA 15|BALIOZKO BOTOEKIKO %-% SOBRE VOTOS VALIDOS|BOTOAK-VOTOS|HAUTETSIAK-ELECTOS|ANTEULT.ESCAÑO|ULTIMO ESCAÑO|PARTIDO 1 OPTA ULT.ESCAÑO|VOTOS PARTIDO 1|PARTIDO 2 OPTA ULT.ESCAÑO|VOTOS PARTIDO 2|
11:22|100.00|999|G I P U Z K O A|558053|968|92.46|516023|106759|409264|52939|15|EUSKAL HERRIA BILDU|18.77|76849|283|P.SOCIALISTA EUSKADI-EE(PSOE)|17.23|70525|223|EUZKO ALDERDI JELTZALEA - PNV|10.54|43166|129|IRABAZI-GANAR|8.74|35778|62|PARTIDO POPULAR|8.16|33420|93|CIUDADANOS-PARTIDO CIUDADANIA|7.21|29512|8|PLAZ|7.18|29425|7|UNION PROGRESO Y DEMOCRACIA|3.56|14575|6|AHAL DU LASARTE-ORIA PUEDE|0.88|3631|7|SI SE PUEDE-BALEIKE ARRASATE|0.59|2455|4|ORAIN HERNANI|0.51|2117|5|PUEDE PASAIA(K) AHAL DU|0.44|1832|4|ABOTSANITZ|0.44|1817|5|P.ANTITAURINO C.MALTRATO ANIMA|0.37|1539|0|BESTEAK-OTROS|2.45|9684|127| | | |0| |0|#
11:22|100.00|1|ABALTZISKETA|245|7|79.59|195|98|97|49|2|HERRITARRAK|40.20|39|6|PARTIDO POPULAR|9.27|9|1| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |HERRITARRAK|HERRITARRAK|PARTIDO POPULAR|5| |0|#
11:22|100.00|2|ADUNA|349|7|85.67|299|151|148|75|2|EUSKAL HERRIA BILDU|39.86|59|6|PARTIDO POPULAR|9.45|14|1| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |EUSKAL HERRIA BILDU|EUSKAL HERRIA BILDU|PARTIDO POPULAR|7| |0|#
11:22|100.00|3|AIZARNAZABAL|539|7|90.72|489|113|376|56|4|EUSKAL HERRIA BILDU|38.82|146|4|PARTIDO POPULAR|25.79|97|2|P.SOCIALISTA EUSKADI-EE(PSOE)|14.09|53|1|EUZKO ALDERDI JELTZALEA - PNV|6.38|24|0| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |PARTIDO POPULAR|EUSKAL HERRIA BILDU|PARTIDO POPULAR|14|EUZKO ALDERDI JELTZALEA - PNV|14|#
11:22|100.00|4|ALBIZTUR|249|7|79.91|199|101|98|50|2|P.SOCIALISTA EUSKADI-EE(PSOE)|39.79|39|6|PARTIDO POPULAR|9.18|9|1| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |P.SOCIALISTA EUSKADI-EE(PSOE)|P.SOCIALISTA EUSKADI-EE(PSOE)|PARTIDO POPULAR|5| |0|#
11:22|100.00|5|ALEGIA|1282|9|92.19|1182|271|911|135|4|EUSKAL HERRIA BILDU|38.85|354|5|P.SOCIALISTA EUSKADI-EE(PSOE)|25.79|235|3|EUZKO ALDERDI JELTZALEA - PNV|14.16|129|1|PARTIDO POPULAR|6.36|58|0| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |P.SOCIALISTA EUSKADI-EE(PSOE)|EUSKAL HERRIA BILDU|EUZKO ALDERDI JELTZALEA - PNV|14|PARTIDO POPULAR|14|#
11:22|100.00|6|ALKIZA|264|7|81.06|214|108|106|54|2|ALKIZAKO ABERTZALE EZKERTIARRA|39.62|42|6|PARTIDO POPULAR|9.43|10|1| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |ALKIZAKO ABERTZALE EZKERTIARRA|ALKIZAKO ABERTZALE EZKERTIARRA|PARTIDO POPULAR|5| |0|#
11:22|100.00|7|ALTZO|302|7|83.44|252|160|92|80|1|EUSKAL HERRIA BILDU|13.04|12|7| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |EUSKAL HERRIA BILDU|EUSKAL HERRIA BILDU|EUSKAL HERRIA BILDU|0| |0|#
11:22|100.00|8|AMEZKETA|732|7|93.16|682|206|476|102|3|EUSKAL HERRIA BILDU|42.85|204|4|P.SOCIALISTA EUSKADI-EE(PSOE)|28.57|136|3|AUZOLANEAN|7.14|34|0| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |EUSKAL HERRIA BILDU|P.SOCIALISTA EUSKADI-EE(PSOE)|AUZOLANEAN|13|EUSKAL HERRIA BILDU|24|#
11:22|100.00|9|ANDOAIN|11628|17|90.97|10578|965|9613|471|6|P.SOCIALISTA EUSKADI-EE(PSOE)|32.91|3164|6|PARTIDO POPULAR|21.90|2106|4|GANEMOS ANDOAIN|15.27|1468|3|EUSKAL HERRIA BILDU|12.01|1155|2|IRABAZI-GANAR ANDOAIN|7.57|728|1|EUZKO ALDERDI JELTZALEA - PNV|5.41|521|1| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |EUZKO ALDERDI JELTZALEA - PNV|GANEMOS ANDOAIN|IRABAZI-GANAR ANDOAIN|252|P.SOCIALISTA EUSKADI-EE(PSOE)|263|#
