TH,Cod.Comarca,Cod.Municipio,AMBITO,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,EAJ-PNV,PP,EA,EKA,PH,EAE / ANV,PSE-EE/PSOE,BERDEAK-LV,PLAZANDREOK,INNDE,EB / ARALAR
ARABA-ÁLAVA,1,059,VITORIA-GASTEIZ,184440,114928,1287,113643,1963,111680,69512,23749,32228,5002,,,9612,33434,,,,7655
ARABA-ÁLAVA,2,001,ALEGRÍA-DULANTZI,1777,1203,12,1191,26,1165,574,343,158,192,,,144,246,,,13,69
ARABA-ÁLAVA,2,003,ARAMAIO,1275,951,14,937,5,932,324,321,17,136,,,374,22,,,1,61
ARABA-ÁLAVA,2,006,ARMIÑÓN,179,134,3,131,6,125,45,46,38,1,,,10,26,,,3,1
ARABA-ÁLAVA,2,008,ARRAZUA-UBARRUNDIA,751,517,10,507,12,495,234,233,103,11,,,47,68,,,1,32
ARABA-ÁLAVA,2,009,ASPARRENA,1339,942,14,928,15,913,397,241,75,118,,,212,73,,,4,190
ARABA-ÁLAVA,2,011,BAÑOS DE EBRO / MAÑUETA,271,240,5,235,6,229,31,88,93,1,,,4,35,,,2,6
ARABA-ÁLAVA,2,013,BARRUNDIA,681,451,14,437,1,436,230,163,57,13,,,122,45,,,3,33
ARABA-ÁLAVA,2,014,BERANTEVILLA,410,304,7,297,6,291,106,143,98,3,,,12,21,,,1,13
ARABA-ÁLAVA,2,016,BERNEDO,523,305,3,302,5,297,218,132,79,13,,,30,25,,,2,16
ARABA-ÁLAVA,2,017,CAMPEZO / KANPEZU,963,689,16,673,9,664,274,267,135,54,,,103,56,,,1,48
ARABA-ÁLAVA,2,018,ZIGOITIA,1277,868,11,857,28,829,409,237,93,128,,,192,108,,,3,68
ARABA-ÁLAVA,2,019,KRIPAN,155,127,0,127,0,127,28,89,20,1,,,9,8,,,0,0
ARABA-ÁLAVA,2,020,KUARTANGO,330,241,1,240,2,238,89,140,29,2,,,49,9,,,1,8
ARABA-ÁLAVA,2,021,ELBURGO / BURGELU,408,267,15,252,7,245,141,124,67,7,,,15,27,,,0,5
ARABA-ÁLAVA,2,022,ELCIEGO,854,704,8,696,18,678,150,135,159,28,,,30,285,,,14,27
ARABA-ÁLAVA,2,023,ELVILLAR / BILAR,298,263,3,260,3,257,35,117,100,0,,,24,13,,,0,3
ARABA-ÁLAVA,2,027,IRURAIZ-GAUNA,422,237,6,231,2,229,185,79,56,16,,,51,13,,,0,14
ARABA-ÁLAVA,2,028,LABASTIDA / BASTIDA,1153,891,9,882,14,868,262,238,325,16,,,78,109,,,6,96
ARABA-ÁLAVA,2,030,LAGRÁN,191,156,2,154,4,150,35,62,63,6,,,3,15,,,0,1
ARABA-ÁLAVA,2,031,LAGUARDIA,1274,1030,23,1007,13,994,244,312,450,54,,,71,81,,,4,22
ARABA-ÁLAVA,2,032,LANCIEGO / LANTZIEGO,557,431,11,420,6,414,126,162,137,9,,,21,77,,,1,7
ARABA-ÁLAVA,2,033,LAPUEBLA DE LABARCA,719,593,4,589,6,583,126,286,141,54,,,18,66,,,3,15
ARABA-ÁLAVA,2,034,LEZA,186,147,3,144,5,139,39,62,12,18,,,19,26,,,1,1
ARABA-ÁLAVA,2,037,ARRAIA-MAEZTU,644,468,7,461,7,454,176,197,94,30,,,51,48,,,2,32
ARABA-ÁLAVA,2,039,MOREDA DE ÁLAVA / MOREDA ARABA,254,200,5,195,5,190,54,60,40,0,,,3,73,,,1,13
ARABA-ÁLAVA,2,041,NAVARIDAS,169,131,3,128,5,123,38,41,55,6,,,3,8,,,5,5
ARABA-ÁLAVA,2,043,OYÓN-OION,2347,1553,22,1531,16,1515,794,561,410,24,,,165,300,,,5,50
ARABA-ÁLAVA,2,044,PEÑACERRADA-URIZAHARRA,232,184,1,183,1,182,48,53,51,34,,,24,12,,,1,7
ARABA-ÁLAVA,2,046,ERRIBERA GOITIA / RIBERA ALTA,582,449,7,442,17,425,133,171,116,12,,,67,42,,,2,15
ARABA-ÁLAVA,2,047,RIBERA BAJA / ERRIBERA BEITIA,864,594,8,587,12,575,270,169,185,6,,,23,179,,,1,12
ARABA-ÁLAVA,2,049,AÑANA,167,146,1,145,1,144,21,72,27,6,,,22,16,,,0,1
ARABA-ÁLAVA,2,051,SALVATIERRA / AGURAIN,3563,2123,24,2099,29,2070,1440,816,232,69,,,518,305,,,7,123
ARABA-ÁLAVA,2,052,SAMANIEGO,244,189,0,189,5,184,55,85,23,5,,,25,40,,,0,6
ARABA-ÁLAVA,2,053,SAN MILLÁN / DONEMILIAGA,647,341,2,339,9,330,306,145,43,14,,,80,9,,,3,36
ARABA-ÁLAVA,2,054,URKABUSTAIZ,882,610,5,605,10,595,272,174,52,84,,,208,53,,,3,21
ARABA-ÁLAVA,2,055,VALDEGOVÍA / GAUBEA,1019,727,24,703,13,690,292,290,199,19,,,70,86,,,2,24
ARABA-ÁLAVA,2,056,HARANA / VALLE DE ARANA,299,218,2,216,3,213,81,126,51,0,,,24,8,,,0,4
ARABA-ÁLAVA,2,057,VILLABUENA DE ÁLAVA / ESKUERNAGA,280,234,0,234,1,233,46,132,38,8,,,41,12,,,2,0
ARABA-ÁLAVA,2,058,LEGUTIO,1288,812,4,808,4,804,476,230,55,171,,,202,84,,,0,62
ARABA-ÁLAVA,2,060,YÉCORA / IEKORA,251,213,2,211,5,206,38,83,97,0,,,3,12,,,4,7
